0000 language_model.embed_tokens Embedding in=[([1, 3116], 'torch.int64', 'cpu')] out=([1, 3116, 2048], 'torch.float32', 'cpu')
0001 visual.patch_embed.proj Conv3d in=[([12408, 3, 2, 16, 16], 'torch.float32', 'cpu')] out=([12408, 1024, 1, 1, 1], 'torch.float32', 'cpu')
0002 visual.pos_embed Embedding in=[([4, 12408], 'torch.int64', 'cpu')] out=([4, 12408, 1024], 'torch.float32', 'cpu')
0003 visual.rotary_pos_emb Qwen3VLVisionRotaryEmbedding in=['int'] out=([188, 16], 'torch.float32', 'cpu')
0004 visual.blocks.0.norm1 LayerNorm in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0005 visual.blocks.0.attn.qkv Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 3072], 'torch.float32', 'cpu')
0006 visual.blocks.0.attn.proj Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0007 visual.blocks.0.norm2 LayerNorm in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0008 visual.blocks.0.mlp.linear_fc1 Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 4096], 'torch.float32', 'cpu')
0009 visual.blocks.0.mlp.act_fn GELUTanh in=[([12408, 4096], 'torch.float32', 'cpu')] out=([12408, 4096], 'torch.float32', 'cpu')
0010 visual.blocks.0.mlp.linear_fc2 Linear in=[([12408, 4096], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0011 visual.blocks.1.norm1 LayerNorm in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0012 visual.blocks.1.attn.qkv Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 3072], 'torch.float32', 'cpu')
0013 visual.blocks.1.attn.proj Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0014 visual.blocks.1.norm2 LayerNorm in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0015 visual.blocks.1.mlp.linear_fc1 Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 4096], 'torch.float32', 'cpu')
0016 visual.blocks.1.mlp.act_fn GELUTanh in=[([12408, 4096], 'torch.float32', 'cpu')] out=([12408, 4096], 'torch.float32', 'cpu')
0017 visual.blocks.1.mlp.linear_fc2 Linear in=[([12408, 4096], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0018 visual.blocks.2.norm1 LayerNorm in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0019 visual.blocks.2.attn.qkv Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 3072], 'torch.float32', 'cpu')
